INFO: [SIM 2] *************** CSIM start ***************
WARNING: [SIM 51] HLS only supports CLANG compiler in Linux.
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_core.cpp in debug mode
   Compiling ../../../core.cpp in debug mode
   Generating csim.exe
Test 0: 1
Test 1: 1
Test 2: 1
Test 3: 1
Test 4: 1
Test 5: 1
Test 6: 1
Test 7: 1
Test 8: 1
Test 9: 2
Test 10: 2
Test 11: 2
Test 12: 2
Test 13: 2
Test 14: 2
Test 15: 2
Test 16: 2
Test 17: 2
Test 18: 2
Test 19: 2
Test 20: 2
Test 21: 2
Test 22: 2
Test 23: 2
Test 24: 3
Test 25: 3
Test 26: 3
Test 27: 3
Test 28: 3
Test 29: 3
Test 30: 3
Test 31: 3
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
